smiles,surface_tension,predicted_surface_tension
C1=COC(=C1)CO,38,38.10651537
CC1=CCC2CC1C2(C)C,25.87,25.38989045
C1=CC=C(C(=C1)C=O)O,42,44.99855354
CCOP(=S)(C1=CC=CC=C1)OC2=CC=C(C=C2)[N+](=O)[O-],20.8,19.59295065
CBr,23,21.97329032
S(Cl)Cl,33.42,33.49157591
CCN,19.2,20.5702318
CC(C)N,16.8,14.93920867
CN,19.15,17.50101766
CCS,20,18.22149607
S(SCl)Cl,42.5,44.10383499
O=S(=O)(Cl)Cl,35.26,35.05212264
C[Si](Cl)(Cl)Cl,20.3,18.30590898
CCCCC=O,27.4,28.46833066
O=S(Cl)Cl,34,33.60687699
C(=S)(Cl)Cl,25,22.51451372
CC1CCCC1,21.6,21.29874344
CCCCN(CCCC)CCCC,24.9,17.21364758
CCl,16.2,14.63962996
C(SCl)(Cl)(Cl)Cl,35.02,35.51914233
C=C[Si](Cl)(Cl)Cl,28,28.73216769
C(CO)N(CCO)CCO,48.4,51.1976797
CCN(CC)CC,20.22,21.96011594
COCCl,30,31.91417064
CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,34,34.71139148
CCOC(=O)C1=CC=CC=C1C(=O)OCC,37.5,35.72695235
CC(C)NC(C)C,19.64,15.84499294
COS(=O)(=O)OC,40.12,40.62506648
CNC,26.34,22.05226184
C1=CC=C(C=C1)OC2=CC=CC=C2,38.82,39.10762945
CCCC(=O)O,26.05,25.33818832
CCOC=O,24,26.75157554
CC(=O)C1=CC=CC=C1,39.04,40.41937123
[O-2].[O-2].[Cl-].[Cl-].[Cr+6],36.61,37.05591861
COCCOCCOCCO,31.4,32.35492743
CC(C)C[Al](CC(C)C)CC(C)C,24,23.78285008
CC(COC)O,27.7,26.53262313
P(Cl)(Cl)Cl,27.98,26.94580627
CCCCCCCCCC1=CC=CC=C1O,30,30.95424943
CCCS,24.7,25.32532255
[N+](=O)([N+](=O)[O-])[O-],27.5,25.30077577
CC(=O)CCl,35.27,38.87348647
CCCCCCl,24.9,26.0862486
CCCCCCCCCCO,28.9,29.30785706
CCCCCCCCC=C,24,26.12265546
CCCCCCCCCCCCO,29.493,29.92606599
CCCCCCCCCCC=C,26.6,28.24740795
CCCCCCCC=C,22.56,27.51069092
CCCCCCCCCCCCC=C,25,26.08325732
CCCCCCCCCC=C,31.5,31.4920239
CC(CCl)Cl,29,30.16100391
CN1CCCC1C2=CN=CC=C2,38.61,41.66159592
C(C=CCl)Cl,31.2,31.95724603
C(CCO)CO,44.6,45.95277422
C1=CC=C(C=C1)NN,46.1,47.45576124
CCCC=C(CC)C=O,28.2,28.81277353
CCCCCC(=O)C,26.17,19.70516123
CC(CC(C)(C)O)O,33.1,33.29811668
CNCCO,34.4,34.95636762
CC(C)[N+](=O)[O-],29.87,29.30293632
CC(C)CC(C)OC(=O)C,25,24.59362603
CNN,33.83,33.10404976
CN(C)C1=CC=CC=C1,35.52,35.70115636
CCC(=O)O,27.21,25.76865522
CCC=O,23.4,22.98852841
CC(=CC(=O)C)C,22.9,22.77818679
COC(=O)C(=C)C#N,37.41,38.32211153
P(Br)(Br)Br,45.8,48.62259905
CCCCCCCCC=CCCCCCCCC(=O)O,32.8,33.40384059
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,43.7,43.58881217
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],43.7,43.73330059
CN(C)CCO,28.2,27.12547425
C(C(CCl)Cl)Cl,37.7,38.32902117
C(C(Cl)Cl)Cl,34.02,34.58121068
C1=CC=C(C(=C1)O)Cl,40.5,41.20381968
C=CC(=O)O,28.1,25.93195397
CC(=C)CC(C)(C)C,20.7,19.51935221
C(C=CCCl)Cl,24,23.10670094
C(C(Br)Br)(Br)Br,49.67,54.06949273
C1CCC=CC1,26.56,26.47786143
C(=O)O,37.13,36.81232311
CNC1=CC=CC=C1,39.54,37.31777037
[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[Ni],15.9,33.84691363
[N+](=O)(O)[O-],41.15,41.03190016
CCCCOP(=O)(OCCCC)OCCCC,27.55,28.56669475
CC1=CCC(CC1)C(=C)C,26,25.3611921
CC1=CC=CC=C1O,36.9,35.45001309
CC1=CC(=CC=C1)O,35.69,36.20944705
COCOC,21.1,24.57955936
C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],35,33.54953956
CCCCCCC(CC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC(CCCCCC)O)OC(=O)CCCCCCCC=CCC(CCCCCC)O)O,39,39.94069535
C=C(Cl)Cl,24,23.83004951
C(C#CCO)O,58.9,65.52751888
CC[Al](CC)Cl.CC[Al](Cl)Cl,32,33.37663948
C1=CC=C(C(=C1)N)Cl,43.66,44.93863136
C=C1CC(=O)O1,33.89,33.27826041
CC(=O)CC(=O)C,31.2,32.57329196
C1=CC=C(C=C1)C(Cl)(Cl)Cl,38.03,27.99305081
CC1=CC(=C(C=C1)N)C,36.75,36.73531978
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,30.8,27.96374267
CC1=CC=CC=C1[N+](=O)[O-],41.76,42.38797701
CCCCBr,25.9,26.57212113
CCC(C)Br,25,26.62604465
C(Br)(Br)Br,41.53,45.20433512
C(Cl)Br,33.32,32.92692755
CCC[N+](=O)[O-],30.64,29.75764937
CC1=C(C=C(C=C1)Cl)Cl,38.29,39.80428911
CCCNCCC,6.58,3.76963494
CC(=C)C(=O)O,26.5,26.43639812
CC(CO)OCC(C)OCC(C)O,35,35.77406738
C1=CC=C(C=C1)P(Cl)Cl,25,22.57537458
C1=CC=C(C=C1)CN,38.82,38.9654829
CCCC=O,29.9,29.98762563
CCC1CO1,23.5,22.75956975
CC1=CC(=CC=C1)[N+](=O)[O-],43.5,44.12671121
CC1OC(OC(O1)C)C,27.82,26.87687546
C1(=C(C(C(=C1Cl)Cl)(Cl)Cl)Cl)Cl,37.5,38.25990933
C(C(Cl)(Cl)Cl)Cl,32.1,32.89790014
CC1=CCC(CC1)C(=C)C,26,25.3611921
C1CC(=O)OC1,44.6,36.08323486
CS(=O)(=O)O,50.584,53.3914862
CCC(C)(C)O,22.77,23.27599899
C(CO)O,47.99,51.38588599
CCCC#N,27.33,27.31146367
CN1CCCC1=O,40.7,43.03104815
CCCCCOC(=O)C,12,18.14691579
CC1=CC=C(C=C1)C(C)C,28.09,27.23289255
CCC1=CN=C(C=C1)C,36,36.87852613
CCCCC(CC)C=O,27.8571,28.64024406
CCCN,22.4,19.45160748
CCCCCCCCCCCCCCC1=CC=CC=C1,32.881,34.58061474
CC(C)Cl,18.09,16.97018351
CC(C)(C)N,16.87,20.8009918
CC(C)C#N,24.93,24.51644683
C=C(CCl)Cl,29.9,31.09956878
CC(C)C(=O)O,24.4,25.60895465
CC1=CC=CC=C1Cl,33.44,33.5651969
CC1=CC(=C(C=C1)C)C,29.71,29.82095019
CCC(C)CC,18.12,16.86056734
CCC(=O)CC,24.7,25.01529369
C1CC(OC1)CO,37,38.25561923
CCCC(=O)OC(=O)CCC,28.84,23.75552722
C(CCl)CCl,33.93,33.83662745
CCCCCCCCCl,27.65,28.53104166
CCCCCCOCCOCCO,29.6,31.45241049
CCCCCCCCC=CCCCCCCCC(=O)OC,31.3,32.51826015
C1=CC=C(C=C1)OCCO,42,43.36027678
CC(=C)C#N,24.4,22.97145371
CC1(C2CCC(=C)C1C2)C,26.85,25.93443274
CCCCOCCOCCOCCO,31.4,31.88812775
C(=CCl)Cl,28,23.63163564
CC(C)C1=CC2=C(C=C1)C3(CCCC(C3CC2)(C)CN)C,33.8,33.85923662
CC(C)CCCC(C)CCCC(C)CCCC(C)(C=C)O,28.47,28.79912724
CCCCl,21.78,22.29360438
C[Si]1(O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)C,18.5,17.77377988
CCC=CC,16.8,14.01177355
CCCCCCCCCCCCC,25.55,26.85824553
CCCCCCCCCCCCCCC,27.07,27.48089282
CCC=CC,16.41,14.01177355
CCCCCCCCCCC,24.21,25.42058149
C(C=CCCl)Cl,24,23.10670094
CCCCCCC=O,25.68,28.2746374
CCC(C)N,22.42,21.07792236
C1=CC=C(C=C1)C(=O)N,47.26,47.92195339
C(=CCl)Cl,25,23.63163564
C1=CC=C2C(=C1)N=C(S2)SCSC#N,70.39,74.90882161
C1=CC=C(C=C1)C(CC(C2=CC=C(C=C2)C3=CC=C(C=C3)Br)O)C4=C(C5=CC=CC=C5OC4=O)O,72.1,76.5615632
CC(Cl)(Cl)Cl,25.4,25.31257853
CC(C)CCCCCO,27.53,24.02605774
C[Si](C)(C)O[Si](C)(C)O[Si](C)(C)C,20,20.0894492
C(C(F)(F)Br)(F)(F)Br,18,16.51309212
CN(CCO)CCO,40.9,42.17327249
C1=CC=C(C=C1)C(=O)C2=CC=CC=C2,45.1,46.49264598
CCCCCC(=O)O,23.4,20.86983563
CCCCCCCCCCCC(=O)O,26.6,25.20113461
CCCCCCCCCCCCCCCC,27.47,27.97044888
CC(C)OP(=O)(C)OC(C)C,28.8,29.53474598
COC(=O)OC,31.925,31.55942814
CC(=O)O.C(CCCBr)CCO,27,26.37747518
CCCCC1=CC=CC=C1,29.23,29.63575965
CCC(C)C1=CC=CC=C1,28.03,28.2157428
CC(CO)CO,72.2,81.46450055
CC(COC(C)(C)C)O,24.2,25.97901682
CC(CBr)Br,34.14,36.24465947
CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],25.82,25.60933218
CC(CC=O)CC(C)(C)C,25.5,24.08210924
C[Si]1(O[Si](O[Si](O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)(C)C)(C)C)C,19.2,18.15709116
CCOC(C)(C)C,19.8,18.4776262
CCCC(=O)CCC,25.2,25.20731849
CC1=C(C(=O)CC1OC(=O)C2C(C2(C)C)C=C(C)C)CC#C,34,34.06378929
O,71.97,78.23142651
CC(COC1=CC=CC=C1)O,38.1,38.79536536
CC(=CCCC(=CCCC(=CCCC=C(C)CCC=C(C)CCC=C(C)C)C)C)C,33.9,34.32765048
CCCCCCCCCCCCCC,26.1,
O(CCCCCCCC)CCCCCCCC,27.1,
CCCCCCCC(OCCCCCCCCCCCC)=O,28.3,
CCCCCCCC(OCC(CCC)CCCCC)=O,27.4,
O=C(OC(C)C)CCCCC(OC(C)C)=O,28.7,
CCCCCCCCCCCC,24.8,
CCCCC(CC)C(OCC(C)(C)COC(C(CC)CCCC)=O)=O,28,
CCCCCCCCCCCC(OCCC(C)C)=O,28.3,
O=C(OCCC(C)C)CCCCCCCCC(OCCC(C)C)=O,29.4,
CCC(CCCC(CCCC(C)C)C)C,24.9,
CC(C)(C)CC(C)CC(C)(C)C,21.6,
CC(C)(C)CC(C)(C)CC(C)CC(C)(C)C,24.2,
O=C(OCCCCCCCC)OCCCCCCCC,28.8,
CCCCCCCC(OCCCOC(CCCCCCC)=O)=O,27.8,
CC(C)(C)C(OCCCCCCCC(C)C)=O,25.4,
CCCCCCCCCCCC(OCC(CC)CCCC)=O,28.7,
CC(C)(COC(CCCCCC)=O)COC(CCCCCC)=O,28.8,
CC(C)CCCCCC(OCCCCCCC(C)C)=O,26.2,
O=C(OC(C)C)CCCCCCCCCCCCC,28.3,
CCCCC(CC)COC(CCCCC(OCC(CC)CCCC)=O)=O,29.5,
CC(C)CCCCCCCCCCCCCCC(OC(C)C)=O,27.6,
O=C(C(CC)CCCC)OCC(COC(C(CC)CCCC)=O)OC(C(CC)CCCC)=O,28.9,
C[Si]1(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O[Si](C)(C)O1,18.8,
CCCCC,15.5,
C(C)CCCC,18,
CCCCCCC,19.8,
CCCCCCCC,21.1,
CCCCCCCCC,22.4,
CCCCCCCCCC,23.4,
CCCCCCCCCCC,24.2,
CCCCCCCCCCCCC,25.6,
CCCCCCCCCCCCCCC,26.7,
CCCCCCCCCCCCCCCC,27.1,
CCCCCCCCCCCCCCCCC,27.5,
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,29,
CC(C)(C)CC,15.8,
CC(C)C(C)C,16.9,
CC(C)(C)C(C)C,18.3,
CC(C)(C)CCC,17.5,
CC(C)CCCC,18.8,
CC(C)(C)C(C)CC,20.2,
CC(C)(C)CC(C)C,18.3,
CCC(CC)CCC,21.1,
CC(C)(CC(C)(C)C)C,19.9,
CCCCCC(C)C,20.3,
CCCCCCC(C)C,21.4,
C1CCCC1,22,
C1CCCCC1,24.6,
C1CCCCCC1,27,
C1CCCCCCC1,29.3,
C(CCC1)(C1)C,21.7,
CCC1CCCC1,23.3,
CCCC1CCCC1,24.4,
C(CC1)CC1C(C)C,23.9,
C(CC1)CC1CC(C)C,24.3,
C(CCCC1)(C1)C,23.3,
CC1CCCC(C)C1,23.3,
CC1CCCCC1C,24.4,
CCCC1CCCCC1,25.8,
C(CCCC1)(C1)C(C)C,26,
C(CCCC1)(C1)CCCC,26.5,
C(CCC1CC(C)C)CC1,25.3,
C(CCC1C(C)(C)C)CC1,26.2,
C12CCCCC1CCCC2,30.6,
C1=CCCC1,22,
C(CCC1)(C1)=C,23.8,
CC1C=CCC1,22.1,
C1=CCCCC1,26.1,
C(=CCCC1)(C1)C,26,
