smiles,surface_tension
CN1CCCC1C2=CN=CC=C2,38.61
C(C=CCl)Cl,31.2
C(CCO)CO,44.6
C1=CC=C(C=C1)NN,46.1
CCCC=C(CC)C=O,28.2
CCCCCC(=O)C,26.17
CC(CC(C)(C)O)O,33.1
CNCCO,34.4
CC(C)[N+](=O)[O-],29.87
CC(C)CC(C)OC(=O)C,25
CNN,33.83
CN(C)C1=CC=CC=C1,35.52
CCC(=O)O,27.21
CCC=O,23.4
CC(=CC(=O)C)C,22.9
COC(=O)C(=C)C#N,37.41
P(Br)(Br)Br,45.8
CCCCCCCCC=CCCCCCCCC(=O)O,32.8
C1=CC=C(C(=C1)[N+](=O)[O-])Cl,43.7
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],43.7
CN(C)CCO,28.2
C(C(CCl)Cl)Cl,37.7
C(C(Cl)Cl)Cl,34.02
C1=CC=C(C(=C1)O)Cl,40.5
C=CC(=O)O,28.1
CC(=C)CC(C)(C)C,20.7
C(C=CCCl)Cl,24
C(C(Br)Br)(Br)Br,49.67
C1CCC=CC1,26.56
C(=O)O,37.13
CNC1=CC=CC=C1,39.54
[N+](=O)(O)[O-],41.15
CCCCOP(=O)(OCCCC)OCCCC,27.55
CC1=CCC(CC1)C(=C)C,26
CC1=CC=CC=C1O,36.9
CC1=CC(=CC=C1)O,35.69
COCOC,21.1
C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O)O)O.[Cl-],35
CCCCCCC(CC=CCCCCCCCC(=O)OCC(COC(=O)CCCCCCCC=CCC(CCCCCC)O)OC(=O)CCCCCCCC=CCC(CCCCCC)O)O,39
C=C(Cl)Cl,24
C(C#CCO)O,58.9
CC[Al](CC)Cl.CC[Al](Cl)Cl,32
C1=CC=C(C(=C1)N)Cl,43.66
C=C1CC(=O)O1,33.89
CC(=O)CC(=O)C,31.2
CC1=CC(=C(C=C1)N)C,36.75
C1=CC=C(C=C1)NC2=CC=C(C=C2)N,30.8
CC1=CC=CC=C1[N+](=O)[O-],41.76
CCCCBr,25.9
CCC(C)Br,25
C(Br)(Br)Br,41.53
C(Cl)Br,33.32
CCC[N+](=O)[O-],30.64
